year,type,importance,event,image,link,
1957,thailand,4,รัฐประหารโดยจอมพลสฤษดิ์ ธนะรัชต์,coup 1957.jpg,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2500
1959,thailand,2,สฤษดิ์ ธนะรัชต์ เป็นนายกรัฐมนตรี,Sarit Thanarat.jpg,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%A4%E0%B8%A9%E0%B8%94%E0%B8%B4%E0%B9%8C_%E0%B8%98%E0%B8%99%E0%B8%B0%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%95%E0%B9%8C
1960,thailand,3,ก่อตั้งการบินไทย,thai airways.png,https://en.wikipedia.org/wiki/Thai_Airways
1961,world,3,จอห์น เอฟ เคนเนดี ขึ้นเป็นประธานาธิบดี,jfk.jpg,https://en.wikipedia.org/wiki/John_F._Kennedy
1962,world,3,รายการโทรทัศน์ผ่านสัญญาณดาวเทียมครั้งแรก,television satellite.jpg,https://en.wikipedia.org/wiki/Satellite_television
1963,world,2,จอห์น เอฟ เคนเนดี ถูกลอบสังหาร,jfk assassinated.png,https://en.wikipedia.org/wiki/Assassination_of_John_F._Kennedy
1963,world,3,"สุนทรพจน์ ""ผมมีความฝัน"" ของมาร์ติน ลูเธอร์ คิง จูเนียร์",mlk i have a dream.jpg,https://en.wikipedia.org/wiki/I_Have_a_Dream
1963,world,4,The Beatles ดังเป็นพลุแตก,the beatles.jpg,https://en.wikipedia.org/wiki/Beatlemania
1964,thailand,5,ห้างไทยไดมารูเปิดให้บริการ,unlicensed daimaru.jpg,https://th.wikipedia.org/wiki/%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B8%B9
1964,world,4,โตเกียวโอลิมปิกส์,1964 tokyo olympics.jpg,https://en.wikipedia.org/wiki/1964_Summer_Olympics
1965,thailand,5,อาภัสรา หงสกุล ได้เป็นนางงามจักรวาลคนแรกของไทย,Apasra Hongsakula.jpg,https://th.wikipedia.org/wiki/%E0%B8%AD%E0%B8%B2%E0%B8%A0%E0%B8%B1%E0%B8%AA%E0%B8%A3%E0%B8%B2_%E0%B8%AB%E0%B8%87%E0%B8%AA%E0%B8%81%E0%B8%B8%E0%B8%A5
1965,world,4,เริ่มปฏิบัติการกวาดล้างคอมมิวนิสต์ในอินโดนีเซีย,indo communist purge.jpg,https://en.wikipedia.org/wiki/Indonesian_mass_killings_of_1965%E2%80%9366
1966,thailand,3,โรงภาพยนตร์สยามฉายภาพยนตร์เรื่องแรก,unlicensed siam cinema.jpg,https://th.wikipedia.org/wiki/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%A0%E0%B8%B2%E0%B8%9E%E0%B8%A2%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C
1966,world,2,จีนเริ่มปฏิวัติวัฒนธรรม,cultural revolution.jpg,https://en.wikipedia.org/wiki/Cultural_Revolution
1968,world,2,มาร์ติน ลูเธอร์ คิง จูเนียร์ ถูกลอบสังหาร,mlk assassinated.jpg,https://en.wikipedia.org/wiki/Assassination_of_Martin_Luther_King_Jr.
1969,world,1,มนุษย์คนแรกเหยียบดวงจันทร์,man on the moon.jpg,https://en.wikipedia.org/wiki/Apollo_11
1969,world,2,การจลาจลที่ Stonewall นำไปสู่งาน pride ครั้งแรก,stonewall.jpg,https://en.wikipedia.org/wiki/Stonewall_riots
