year,type,importance,event,link,
1947,thailand,4,รัฐประหารโดย ????,,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2490
1949,world,1,เหมาเจ๋อตงขึ้นสู่อำนาจ,mao zedong,https://en.wikipedia.org/wiki/Mao_Zedong
1950,thailand,4,บรมราชาภิเษก ร.9,,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2%E0%B8%A0%E0%B8%B4%E0%B9%80%E0%B8%A9%E0%B8%81_%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%A3%E0%B8%B2%E0%B8%8A_2493
1950,world,3,เริ่มสงครามเกาหลี,korean war,https://en.wikipedia.org/wiki/Korean_War
1953,thailand,3,ศาลาเฉลิมไทยกลายเป็นโรงภาพยนตร์,,https://th.wikipedia.org/wiki/%E0%B8%A8%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%89%E0%B8%A5%E0%B8%B4%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2#%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%82%E0%B8%A3%E0%B8%88%E0%B8%99%E0%B9%8C%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%99%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1
1955,world,2,เริ่มสงครามเวียดนาม,vietnam war,https://en.wikipedia.org/wiki/Vietnam_War
1957,thailand,4,รัฐประหารโดย ????,,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2500
1959,thailand,2,สฤษดิ์ ธนะรัชต์ เป็นนายก,,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%A4%E0%B8%A9%E0%B8%94%E0%B8%B4%E0%B9%8C_%E0%B8%98%E0%B8%99%E0%B8%B0%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%95%E0%B9%8C
1960,thailand,3,ก่อตั้งการบินไทย,,https://en.wikipedia.org/wiki/Thai_Airways
1961,world,3,จอห์น เอฟ เคนเนดี ขึ้นเป็นประธานาธิบดี,jfk,https://en.wikipedia.org/wiki/John_F._Kennedy
1962,world,3,รายการโทรทัศน์ผ่านสัญญาณดาวเทียมครั้งแรก,television satellite,https://en.wikipedia.org/wiki/Satellite_television
1963,world,2,จอห์น เอฟ เคนเนดี ถูกลอบสังหาร,jfk assassinated,https://en.wikipedia.org/wiki/Assassination_of_John_F._Kennedy
1963,world,3,"สุนทรพจน์ ""ผมมีความฝัน"" ของมาร์ติน ลูเธอร์ คิง จูเนียร์",mlk i have a dream,https://en.wikipedia.org/wiki/I_Have_a_Dream
1963,world,4,เดอะ บีเทิลส์ ดังเป็นพลุแตก,the beatles,https://en.wikipedia.org/wiki/Beatlemania
1964,thailand,5,ห้างไทยไดมารูเปิดให้บริการ,,https://th.wikipedia.org/wiki/%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B8%B9
1964,world,4,โตเกียวโอลิมปิกส์,1964 tokyo olympics,https://en.wikipedia.org/wiki/1964_Summer_Olympics
1965,thailand,5,อาภัสรา หงสกุล นางงามจักรวาลคนแรกของไทย,,
1965,world,4,เริ่มปฏิบัติการกวาดล้างคอมมิวนิสต์ในอินโดนีเซีย,indo communist purge,https://en.wikipedia.org/wiki/Indonesian_mass_killings_of_1965%E2%80%9366
1966,thailand,4,โรงภาพยนตร์สยามฉายหนังเรื่องแรก,,https://th.wikipedia.org/wiki/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%A0%E0%B8%B2%E0%B8%9E%E0%B8%A2%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%AD%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C
1966,world,2,จีนเริ่มปฏิวัติวัฒนธรรม,cultural revolution,https://en.wikipedia.org/wiki/Cultural_Revolution
1968,world,2,มาร์ติน ลูเธอร์ คิง จูเนียร์ ถูกลอบสังหาร,mlk assassinated,https://en.wikipedia.org/wiki/Assassination_of_Martin_Luther_King_Jr.
1969,world,1,มนุษย์คนแรกเหยียบดวงจันทร์,man on the moon,https://en.wikipedia.org/wiki/Apollo_11
1970,thailand,2,มิตร ชัยบัญชา ตกเฮลิคอปเตอร์,,https://th.wikipedia.org/wiki/%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%A3_%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%9A%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2
1970,world,2,1st Pride Parade,,
1972,world,4,Martial Law in Phillipines under Ferdinand Marcos,,https://en.wikipedia.org/wiki/Martial_law_under_Ferdinand_Marcos
1973,thailand,1,14 ตุลา,,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AB%E0%B8%95%E0%B8%B8%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C_14_%E0%B8%95%E0%B8%B8%E0%B8%A5%E0%B8%B2
1975,world,3,Khmer Rouge rose to power,,https://en.wikipedia.org/wiki/Khmer_Rouge
1975,world,4,Pathet Lao rose to power,,https://en.wikipedia.org/wiki/Pathet_Lao
1975,world,4,"Fall of Saigon, End of Vietnam War",,https://en.wikipedia.org/wiki/Vietnam_War
1975,world,3,Microsoft Founded,,https://en.wikipedia.org/wiki/Microsoft
1976,thailand,1,6 ตุลา,,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AB%E0%B8%95%E0%B8%B8%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C_6_%E0%B8%95%E0%B8%B8%E0%B8%A5%E0%B8%B2
1976,world,3,Apple Inc. Founded,,https://en.wikipedia.org/wiki/Apple_Inc.
1977,thailand,2,แผลเก่า เวอร์ชันสรพงศ์ชาตรี,,https://th.wikipedia.org/wiki/%E0%B9%81%E0%B8%9C%E0%B8%A5%E0%B9%80%E0%B8%81%E0%B9%88%E0%B8%B2
1977,world,3,ภาพยนตร์เรื่อง Star Wars ออกฉาย,star wars,https://en.wikipedia.org/wiki/Star_Wars_(film)
1978,thailand,2,ก่อตั้ั้ง CPF ,,https://en.wikipedia.org/wiki/Charoen_Pokphand_Foods
1978,world,1,Deng Xiaoping rose to power จีนเปิดประเทศ,,
1979,world,3,Margaret Thatcher rose to power,,
1981,thailand,2,ก่อตั้ง the Mall Group ห้างแห่งแรกของไทย บนถนนราชดำริ,,https://en.wikipedia.org/wiki/The_Mall_Group
1981,thailand,5,ี้่ร้านอาหาร Inter ที่สยามเปิดให้บริการ,,https://www.wongnai.com/reviews/6beb02ace7d347cc9e46a8a31aba7827
1981,world,3,Ronald Reagan became a president,,
